SubjectID,Gender,ZSTEMImageDotPmean_V1,ZNONSTEMImageDotPmean_V1,ZDcorrect_AllProblems_V1,ZDwrong_AllProblems_V1,Zmathdevalue_V1,ZGRIT_V1,Zcoratmpt_V1,ZMoodComp_V1,ZSAQ1_V1,ZWrongFeedback_Arousal_emotion_SelectedModularity_Theta_A,ZWrongFeedback_Arousal_emotion_SelectedModularity_Beta_A,ZWrongFeedback_Arousal_emotion_SelectedModularity_Gamma_A,ZWrongFeedback_DPD_SelectedModularity_Theta,ZWrongFeedback_DPD_SelectedModularity_Beta,ZWrongFeedback_DPD_SelectedModularity_Gamma
78097,0,-.324304834090441,-.233159511636695,.685242636197091,1.3656013533039,.545974138122059,1.06537980060832,-.64633964162164,-.64828897279511,-.910605007611111, , , , , , 
472629,0,-.261018424801059,-.225607411313791,1.79804783797855,-.749291088424443,-.595026502093962,-2.28196358596854,-.315946150541951,-1.17247224802743,.769304230568004, , , , , , 
28530,0,-.409459845542647,-.22384525457178,2.83777268313072,1.89737294937879,.317774010078855,.693452757655333,-.20157917286052,2.32208292018803,-.910605007611111, , , , , , 
74449,1,-1.06386119814228,-.522656690681362,-1.43469326592202,-.0682767125659133,-1.05142675818037,-.0504013282506363,.179644086077583,-.473561214384337,.769304230568004, , , , , , 
64735,1,.0627031557001266,-.170899346931633,-1.55330892282328,.302675563107885,.774174266165263,.135562193225856,-1.48734125527903,.400077577669527,-.0706503885215535, , , , , , 
52216,1,1.06446897637874,.372072304671244,-.805176727150536,-.917993968503367,-.595026502093962,-.0504013282506363,-.64633964162164,.400077577669527,-.0706503885215535, , , , , , 
12705,1,.767799904222668,.274970971756052,.717485593996592,-.153774243815214,-1.05142675818037,1.4373068435613,-.0681510322321838,1.09898861131262,-1.75055962670067, ,-1.75874420528974,-.471656035632449,-.304332850849334,-.553605491485238,-.512847712924799
68038,1,.190237936250862,-.167959712182288,.134341938893708,.750302365119929,.0895738820356503,-.236364849727129,1.66641479593618,-.298833455973564,-.0706503885215535,-2.62899373332412,-1.65078077094315,-1.61423754365188,1.19893753526208,-.0681350733133358,-1.89178245249637
54982,1,-.420062804167046,-.203958057054799,.0725747208936945,1.08788616614209,-1.05142675818037,.693452757655333,.799131881852,2.84626619542035,1.60925884965756,-2.43383425730878,.720094051649383,-.316754470908817,.127157403874314,1.31377394958112,1.29635615554526
36662,1,-.91376306511563,-.263871386283173,1.2924781574983,.51541896677745,.774174266165263,.693452757655333,.972588464668837,-.298833455973564,1.60925884965756,-1.888910148148,-1.65521257273192,-1.84693573194786,.615626203599307,1.05625848165102,-1.67637313154635
48111,1,.0249301156007048,.000577993357194025,-.931940223073664,-.420875276066544,-1.50782701426678,-2.83985415039802,1.08822618654673,-1.17247224802743,1.60925884965756,-1.68503946867244,-1.43600207887926,.861155610161567,2.18570603960996,.83902553712368,.523985674820932
87086,1,-.802763342016451,-.473190433566338,-1.64105788953833,-.59907434187658,-1.27962688622357,-.794255414156606,-1.36907540335846,-.64828897279511,-1.75055962670067,-1.38581093184142,.750240414437381,1.18131458217085,.939828823869412,2.06157431324847,1.64829898812117
23064,1,-.447232885642068,-.237136951140092,-.312595183986258,-1.8432601128402,.317774010078855,.507489236178841,.510037577157272,-.823016731205883,.769304230568004,-1.33743927465753,-.668772876003942,-.963266604990478,-1.31957390263669,-.322491131269475,-1.25361666557245
